feature,quartile,shap_rank,linear_rank,shap_importance,linear_importance,mean_directional,positive_ratio,negative_ratio,direction_strength,mean_feat_when_shap_positive,mean_feat_when_shap_negative,feature_shap_correlation,count_shap_positive,count_shap_negative
type_token_ratio,Q1,1.0,2.0,0.42972,0.4640347679845868,0.0993312675989943,0.5219807158032358,0.4780192841967642,0.1564961965249045,-0.7596091776885298,0.6653668042185993,-0.8060592562613246,3194,2925
avg_word_length,Q1,2.0,1.0,0.417334,0.5170858220005631,0.1063769055550425,0.6054910933159013,0.3945089066840987,0.1802328687454482,-0.6118122012233997,0.7999676845308744,-0.8875735249346266,3705,2414
word_count,Q1,3.0,3.0,0.363539,0.4407864734207648,-0.0692485953606357,0.4937081222421964,0.5062918777578036,0.1287798608267314,-0.6838723348289518,0.6670279404406916,-0.9513919517003708,3021,3098
hapax_legomena,Q1,4.0,5.0,0.311758,0.3578302381531969,-0.0700292054682617,0.4557934302990685,0.5442065697009315,0.1612954768399104,0.5672168794896353,-0.6132378672784593,0.8121210856522036,2789,3330
fear,Q1,5.0,8.0,0.289472,0.2856266379098288,-0.036994908488745,0.6069619218826605,0.3930380781173394,0.0999619669071191,-0.7586931043903347,1.0827856145155224,-0.9087391741692332,3714,2405
hedge_C_count,Q1,6.0,6.0,0.268736,0.3399912007770813,0.0350493195662557,0.4809609413302827,0.5190390586697172,0.0784986860634649,0.6434842761338659,-0.5940033264580128,0.8119116025637187,2943,3176
noun_ratio,Q1,7.0,9.0,0.24296,0.2631855516212829,-0.0505706019884208,0.4526883477692433,0.5473116522307566,0.1226659104965081,0.4546396835529558,-0.4045417497711277,0.6088089834284179,2770,3349
stopword_ratio,Q2,8.0,13.0,0.234994,0.2224585131289213,0.0137639507129493,0.5267200522961268,0.4732799477038731,0.0438908639486581,0.7844487347498504,-0.8509422124564421,0.8971094955187152,3223,2896
punctuation_density,Q2,9.0,12.0,0.231419,0.23396881381115,-0.011732719049556,0.4572642588658278,0.5427357411341722,0.0366276514362775,0.9163908855513464,-0.7145302399939671,0.8767364084005796,2798,3321
verb_ratio,Q2,10.0,16.0,0.198898,0.1979611045792621,0.0086695814939768,0.5262297761072071,0.4737702238927929,0.0313279237801069,-0.5509190203721336,0.5853679149646253,-0.8089495325832144,3220,2899
std_word_length,Q1,11.0,10.0,0.181042,0.2408028912871867,-0.027480549530493,0.461513319169799,0.538486680830201,0.1043272317177842,0.7100389862542162,-0.6065507775817874,0.83978523498057,2824,3295
function_word_ratio,Q2,12.0,19.0,0.166453,0.1577433940109425,0.0116884251142119,0.5174048047066514,0.4825951952933486,0.0488383915910525,-0.0652831943649606,0.0739075053742298,-0.3029660295556726,3166,2953
sentence_count,Q2,13.0,14.0,0.14417,0.220979554037963,-0.0358059029382315,0.549926458571662,0.4500735414283379,0.1531582187989673,-0.4675175325803409,0.6251677821537334,-0.8270380891619235,3365,2754
certainty_adjectives_count,Q2,14.0,18.0,0.141646,0.1770460253952674,0.0227623170712038,0.2371302500408563,0.7628697499591437,0.114381924564159,1.8497956147396155,-0.4630048256438385,0.9682728745816208,1451,4668
C_ratio,Q2,15.0,11.0,0.139686,0.2362252217620292,-0.0056932190360758,0.2049354469684589,0.7950645530315411,0.0237447911649223,-1.2420727649598078,0.3606173043911483,-0.8683751655324071,1254,4865
hedge_N_count,Q2,16.0,4.0,0.111398,0.4053061404929948,-0.0011425315352118,0.8168001307403171,0.1831998692596829,0.0032239975665679,-0.2000115335237751,0.4522540916665997,-0.8076429449479918,4998,1121
adj_ratio,Q3,17.0,24.0,0.110652,0.1136375698955058,-0.0057795276062738,0.4711554175518875,0.5288445824481124,0.030827892842746,0.3066844528586063,-0.2912155953768432,0.6399218872541708,2883,3236
N_ratio,Q2,18.0,7.0,0.100047,0.3127838405800763,0.0030897148202469,0.1831998692596829,0.8168001307403171,0.008717603746938,0.5044697925350811,-0.1940477764386482,0.8556780738576392,1121,4998
doubt_adverbs_count,Q3,19.0,23.0,0.086654,0.1256732581489681,0.0055435548173953,0.7926131720869423,0.2073868279130576,0.0442035621596814,-0.4878426640595871,1.6938808594174946,-0.8938909779028367,4850,1269
joy,Q2,20.0,17.0,0.082771,0.1813573875013073,0.009309335849989,0.3196600751756823,0.6803399248243177,0.0679354886822077,0.9726351810107629,-0.3889908797947946,0.923208176327692,1956,4163
hedges_score,Q3,21.0,30.0,0.082331,0.0939856442784724,-0.0017437894525373,0.7494688674620036,0.2505311325379964,0.0135728434789092,-0.363910941446326,0.8397639127996701,-0.6663540609872327,4586,1533
anger,Q4,22.0,34.0,0.080539,0.0759512073040058,0.0009318916689301,0.7174374897859127,0.2825625102140873,0.0068653710468493,-0.3735041275655944,1.0741972572396925,-0.8269019278716933,4390,1729
readability_score,Q4,23.0,35.0,0.073828,0.0751687967738593,-0.0033544980263853,0.4873345317862396,0.5126654682137605,0.028526358165988,0.4585321679071998,-0.38865587999958,0.6104462749867193,2982,3137
surprise,Q3,24.0,27.0,0.069367,0.1018959194091284,-0.0008488821629648,0.5719888870730512,0.4280111129269488,0.0082292606569519,-0.2399055040686662,0.4184722320798787,-0.4290191597148037,3500,2619
pronoun_ratio,Q3,25.0,32.0,0.068176,0.0843949149002875,-0.0058719806203497,0.4747507762706324,0.5252492237293676,0.0514967681441026,0.1880766410044891,-0.1877736871100061,0.1254785397556159,2905,3214
certainty_adverbs_count,Q3,26.0,25.0,0.066184,0.111460538925255,-0.0004854092096719,0.1202810916816473,0.8797189083183526,0.0040751860518201,2.529092605630248,-0.3383364229350317,0.871532407038426,736,5383
subordinate_clause_ratio,Q4,27.0,41.0,0.065251,0.0543059493021069,-0.0024517401060628,0.4989377349240071,0.5010622650759928,0.0259360142538584,0.0627280723415988,-0.0473675346953939,0.3193156106578058,3053,3066
hedge_D_count,Q3,28.0,21.0,0.062539,0.1476529596213271,-0.0006404388237982,0.3981042654028436,0.6018957345971564,0.0039156326894999,0.1842039685468275,-0.0444849544920368,0.0818946587282179,2436,3683
adv_ratio,Q4,29.0,42.0,0.059348,0.0495351043562443,0.0001348285563853,0.5120117666285341,0.4879882333714659,0.0014933467982016,-0.0203799141752128,0.1207148821452467,-0.0662150938817902,3133,2986
sentiment_subjectivity,Q3,30.0,33.0,0.056192,0.0802847416237127,0.0070410449068678,0.4794901127635234,0.5205098872364765,0.0851665488890532,0.5358036923406947,-0.4215470112280455,0.6436548711881085,2934,3185
certainty_verbs_count,Q3,31.0,28.0,0.050703,0.096762870845914,0.0016220174662972,0.5795064553031541,0.4204935446968459,0.0165255754576008,-0.1411161044458805,0.1735988192113094,-0.0436942065955763,3546,2573
doubt_adjectives_count,Q3,32.0,31.0,0.048553,0.0866729551356915,0.0020809151522537,0.6551724137931034,0.3448275862068966,0.0230078800114714,-0.1526274407650655,0.355550406715002,-0.5089568194339226,4009,2110
punctuation_usage,Q4,33.0,36.0,0.048395,0.0674333947997042,-0.0037705769605518,0.5549926458571662,0.4450073541428338,0.0462426650358311,-0.4238004571847084,0.6065624810003253,-0.7141186930323353,3396,2723
E_ratio,Q4,34.0,29.0,0.048257,0.0954822281565382,-0.0014020827926385,0.4610230429808792,0.5389769570191207,0.0127892747403447,0.0081849656206354,-0.0037060673001246,-0.32554733240273,2821,3298
sadness,Q4,35.0,37.0,0.045778,0.0670511406748068,-0.0006494583722358,0.6978264422291224,0.3021735577708776,0.0072355712475173,-0.3292161262121579,0.4950545993625461,-0.7617516335922544,4270,1849
hedge_E_count,Q4,36.0,22.0,0.045427,0.1366655023009447,-0.0033196105993456,0.3378002941657133,0.6621997058342867,0.0352236371863383,0.2677504676450667,-0.1552434253861697,0.4789881650531265,2067,4052
D_ratio,Q4,37.0,26.0,0.043998,0.1058107709221879,0.0005940082463155,0.5363621506782154,0.4636378493217846,0.0044539996028435,0.016816925221337,0.0902619658521771,-0.037978127088636,3282,2837
sentence_length_variation,Q4,38.0,40.0,0.039118,0.0644886328559826,-0.0050449117022606,0.5048210491910443,0.4951789508089557,0.0752946460697742,-0.0488722990836508,0.0716542033737044,-0.3622771389196509,3089,3030
sentiment_polarity,Q4,39.0,39.0,0.032552,0.0655421211021357,-0.0002254489088302,0.4579179604510541,0.542082039548946,0.0035184226187319,0.1968937515283177,-0.1436273147539158,0.2158229461214848,2802,3317
doubt_verbs_count,Q4,40.0,43.0,0.016776,0.0355445100265984,-0.0041802353796414,0.3124693577381925,0.6875306422618075,0.091719387218839,0.0881534894858259,-0.1147450957177321,0.4602848289205747,1912,4207
disgust,Q4,41.0,38.0,0.015101,0.0669502498992356,-0.0023012804269837,0.2745546657950645,0.7254453342049354,0.0320682984535807,0.3395816689745283,-0.0766891369203333,0.3007283706919474,1680,4439
hedge_I_count,Q4,42.0,15.0,0.00548,0.199097872481538,0.0001939429297517,0.6903088739990194,0.3096911260009805,0.0027556489872843,-0.0761672794871526,-0.0282229002275694,-0.8883610367360344,4224,1895
I_ratio,Q4,43.0,20.0,0.005034,0.1502210210626174,0.0001991455280992,0.4610230429808792,0.3850302336983167,0.0027512040495413,-0.0341721962903445,-0.074376695550845,0.8631161665348553,2821,2356
