Dataset,Total_Size,Correct_Count,Incorrect_Count,Balance_Ratio,Type,2_count,0_count,1_count
1,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
2,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
3,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
4,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
5,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
6,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
7,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
8,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
9,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
10,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
11,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
12,1309,551,758,0.7269129287598944,Unique_Data,646,339,324
13,1516,758,758,1.0,Oversampled,646,484,386
